geo_join_id,geo_place_name,geo_type_name,start_date,time_period,pollutant_name,measure_info,data_value,year_from_period,BORO_NM_IMPUTED,AQI_composite
308,Crown Heights and Prospect Heights (CD8),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,72.081498,2005,,
308,Crown Heights and Prospect Heights (CD8),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,2.615298,2005,,
202,Downtown - Heights - Slope,UHF42,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,3.2,2005,,
202,Downtown - Heights - Slope,UHF42,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,83.92354,2005,,
202,Downtown - Heights - Slope,UHF42,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,5.725227,2005,,
202,Downtown - Heights - Slope,UHF42,2005-01-01,2005,Annual vehicle miles traveled,per square mile,90.11112,2005,,
202,Downtown - Heights - Slope,UHF42,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,3.7,2005,,
317,East Flatbush (CD17),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,99.035809,2005,,
317,East Flatbush (CD17),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,95.236954,2005,,
317,East Flatbush (CD17),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,3.275749,2005,,
207,East Flatbush - Flatbush,UHF42,2005-01-01,2005,Annual vehicle miles traveled,per square mile,74.847157,2005,,
207,East Flatbush - Flatbush,UHF42,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,2.408398,2005,,
207,East Flatbush - Flatbush,UHF42,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,2.8,2005,,
207,East Flatbush - Flatbush,UHF42,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,71.895211,2005,,
207,East Flatbush - Flatbush,UHF42,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,2.3,2005,,
